transaction_id,account_id,amount,transaction_type,transaction_date,description
1,1,1183.79,Credit,2025-08-06,rock
2,1,4034.98,Debit,2025-08-23,church
3,1,1375.32,Credit,2024-11-17,also
4,1,4570.02,Debit,2025-06-30,hope
5,1,1102.5,Debit,2024-12-16,old
6,2,4429.18,Debit,2024-01-14,law
7,2,757.21,Credit,2023-12-28,analysis
8,2,1270.81,Debit,2024-05-17,his
9,2,3747.72,Debit,2025-08-19,worker
10,2,4494.22,Debit,2025-05-31,traditional
11,2,1841.88,Credit,2023-10-21,way
12,2,2572.16,Credit,2024-06-24,develop
13,2,3791.12,Credit,2025-03-03,enjoy
14,2,806.56,Credit,2025-02-20,board
15,2,3970.79,Debit,2024-06-21,state
16,2,3002.22,Debit,2024-11-28,usually
17,3,2999.65,Debit,2025-07-31,investment
18,3,2669.12,Credit,2025-01-15,so
19,3,3417.4,Credit,2024-01-19,wish
20,3,3424.47,Debit,2025-09-12,economic
21,3,3854.56,Debit,2025-07-23,commercial
22,3,602.18,Debit,2025-06-03,talk
23,3,832.88,Credit,2024-02-05,upon
24,3,4771.39,Debit,2024-08-06,ago
25,3,4860.85,Credit,2024-02-07,since
26,3,2563.02,Credit,2025-09-08,go
27,3,4359.07,Debit,2025-05-20,word
28,4,2562.93,Credit,2024-08-05,suffer
29,4,806.55,Credit,2025-02-22,treat
30,4,2719.93,Credit,2025-04-13,talk
31,4,3014.78,Debit,2024-03-31,example
32,4,146.41,Debit,2024-01-22,store
33,4,4399.67,Debit,2025-03-18,box
34,4,1235.29,Credit,2024-07-14,turn
35,4,4396.15,Credit,2023-10-21,town
36,4,473.98,Debit,2024-09-20,doctor
37,4,4089.32,Credit,2024-02-23,technology
38,4,685.54,Debit,2025-09-03,magazine
39,4,4736.9,Credit,2024-06-18,focus
40,4,1362.03,Debit,2025-06-19,stuff
41,4,4823.6,Credit,2025-07-28,drive
42,4,3579.1,Debit,2024-03-12,agent
43,5,3266.9,Debit,2025-02-14,data
44,5,4503.09,Debit,2024-07-26,get
45,5,648.97,Credit,2024-04-24,treatment
46,5,366.93,Credit,2023-11-13,spring
47,5,2962.13,Credit,2024-04-24,have
48,5,2962.78,Credit,2025-01-31,Mr
49,5,401.42,Credit,2024-07-27,respond
50,5,1183.26,Credit,2025-07-07,not
51,5,4305.2,Credit,2024-06-04,wrong
52,5,2595.07,Debit,2023-10-12,business
53,5,3361.44,Credit,2025-08-02,every
54,5,2719.21,Debit,2024-02-06,partner
55,5,1252.84,Debit,2024-04-14,American
56,5,4047.11,Credit,2023-12-14,pick
57,5,516.91,Debit,2024-08-23,hair
58,6,2146.71,Debit,2025-04-08,stop
59,6,4325.99,Credit,2024-05-21,least
60,6,3383.15,Credit,2025-01-03,much
61,6,350.03,Debit,2023-12-19,image
62,6,4012.93,Credit,2025-08-19,part
63,6,1280.85,Credit,2024-02-15,environmental
64,6,2704.61,Credit,2023-10-25,section
65,6,2138.31,Debit,2024-08-24,ability
66,6,2340.01,Credit,2024-10-28,wish
67,6,2243.5,Credit,2025-06-08,nothing
68,7,3278.12,Credit,2025-03-07,serve
69,7,4846.53,Credit,2025-09-20,site
70,7,873.24,Debit,2025-04-15,religious
71,7,2432.72,Debit,2024-02-21,himself
72,7,4517.09,Credit,2024-08-20,available
73,8,60.67,Debit,2025-02-17,wife
74,8,1362.76,Debit,2024-06-03,price
75,8,1461.98,Debit,2024-05-21,record
76,8,816.24,Debit,2025-07-10,capital
77,8,1127.62,Credit,2025-04-02,we
78,8,2916.94,Credit,2024-05-11,movement
79,8,3752.48,Credit,2024-05-18,reflect
80,8,298.2,Debit,2024-08-03,general
81,8,2539.11,Credit,2024-07-29,same
82,8,331.55,Credit,2024-05-07,once
83,8,4264.15,Credit,2023-12-28,dark
84,9,386.41,Credit,2024-08-12,red
85,9,2048.69,Credit,2025-09-20,hundred
86,9,2915.65,Credit,2025-02-28,smile
87,9,3115.94,Debit,2025-08-22,contain
88,9,3304.0,Debit,2025-01-11,outside
89,9,4676.8,Credit,2024-05-11,into
90,9,3365.14,Debit,2024-11-19,these
91,9,1231.5,Debit,2023-09-21,fly
92,9,697.85,Debit,2024-04-30,develop
93,9,2313.26,Credit,2024-08-19,stock
94,9,96.11,Credit,2024-12-14,policy
95,9,412.64,Credit,2025-02-10,fund
96,9,2554.13,Credit,2024-09-16,letter
97,9,4669.63,Credit,2024-08-29,Republican
98,10,1879.16,Credit,2024-03-04,much
99,10,2219.01,Debit,2024-09-22,student
100,10,3077.8,Credit,2025-08-20,style
101,10,3355.92,Debit,2025-04-14,condition
102,10,4662.19,Credit,2025-02-13,become
103,10,4697.7,Credit,2024-04-28,myself
104,10,1359.11,Credit,2025-02-17,property
105,10,3724.96,Credit,2025-01-13,government
106,11,1444.69,Credit,2023-12-02,tell
107,11,3602.18,Credit,2025-04-26,easy
108,11,3453.11,Debit,2025-02-24,force
109,11,2551.77,Debit,2024-03-13,sure
110,11,4531.42,Credit,2024-02-22,choice
111,11,506.88,Debit,2023-10-09,any
112,11,4155.27,Credit,2024-03-29,may
113,11,67.55,Credit,2025-01-07,to
114,11,3203.71,Debit,2025-05-09,baby
115,12,3719.09,Debit,2024-09-08,join
116,12,2826.49,Credit,2025-08-09,professional
117,12,422.46,Credit,2024-12-11,day
118,12,2750.67,Debit,2025-03-31,same
119,12,2933.42,Credit,2024-07-15,miss
120,12,2177.44,Credit,2024-07-27,either
121,12,1575.88,Credit,2024-01-13,reality
122,13,1089.88,Credit,2025-03-08,accept
123,13,3351.32,Debit,2025-08-14,social
124,13,3911.58,Debit,2025-07-20,speech
125,13,4870.49,Credit,2025-08-08,both
126,13,4632.53,Credit,2025-05-17,large
127,13,4329.8,Credit,2024-03-08,control
128,13,4413.01,Credit,2025-06-06,safe
129,13,937.84,Debit,2024-10-27,majority
130,13,3922.81,Debit,2023-10-30,onto
131,13,4021.06,Credit,2024-04-01,whose
132,14,838.03,Credit,2025-07-10,campaign
133,14,1943.58,Credit,2024-09-09,cell
134,14,4300.04,Credit,2025-06-04,majority
135,14,1037.89,Debit,2025-02-20,nice
136,14,1780.81,Credit,2024-11-28,physical
137,14,1153.47,Credit,2024-05-24,someone
138,14,2022.41,Debit,2025-08-13,level
139,14,4328.55,Debit,2025-01-08,teacher
140,14,1788.17,Debit,2025-04-01,wait
141,15,4906.69,Debit,2024-10-17,last
142,15,4699.22,Credit,2025-06-27,what
143,15,4391.34,Debit,2024-11-19,like
144,15,933.91,Debit,2025-08-17,cold
145,15,239.37,Debit,2025-04-20,training
146,15,1761.15,Debit,2024-09-23,listen
147,15,2210.15,Credit,2024-04-09,society
148,15,1956.72,Credit,2024-03-31,though
149,15,1310.88,Debit,2025-01-28,factor
150,15,58.37,Credit,2025-05-07,star
151,15,1852.9,Credit,2024-10-29,memory
152,15,4746.93,Debit,2025-01-19,edge
153,15,3134.62,Credit,2024-04-21,less
154,15,3612.78,Debit,2023-11-20,sell
155,15,2560.26,Debit,2024-04-29,easy
156,16,2041.88,Debit,2024-04-19,government
157,16,2794.34,Credit,2024-05-26,walk
158,16,2131.21,Debit,2024-11-13,be
159,16,3402.72,Credit,2024-01-06,city
160,16,3096.8,Debit,2024-03-18,identify
161,16,2060.07,Credit,2025-03-13,claim
162,16,1554.18,Credit,2025-03-22,difficult
163,16,2177.95,Debit,2023-11-09,join
164,16,2351.69,Debit,2024-08-02,give
165,16,3394.35,Debit,2024-11-15,man
166,17,3311.31,Debit,2024-08-08,assume
167,17,2601.49,Debit,2024-02-28,there
168,17,512.27,Credit,2024-08-12,improve
169,17,3380.34,Credit,2025-08-23,speech
170,17,4042.49,Credit,2024-12-17,young
171,17,170.91,Credit,2025-03-14,again
172,17,4920.48,Credit,2025-07-17,up
173,18,2101.48,Credit,2025-05-07,parent
174,18,3605.81,Debit,2024-07-12,me
175,18,2497.17,Credit,2023-09-25,yes
176,18,780.48,Credit,2024-06-20,fire
177,18,4468.67,Credit,2025-04-28,in
178,18,3903.18,Credit,2025-07-14,wait
179,18,920.64,Debit,2025-07-01,kind
180,18,298.58,Credit,2024-11-12,small
181,18,4591.48,Credit,2025-04-13,office
182,18,2309.49,Debit,2025-06-03,player
183,18,3354.51,Debit,2025-08-18,discussion
184,18,4752.7,Debit,2024-10-04,discuss
185,19,4084.28,Debit,2024-04-19,least
186,19,4161.32,Debit,2024-10-02,air
187,19,4491.18,Debit,2024-07-19,great
188,19,2277.85,Credit,2025-02-21,respond
189,19,4207.32,Debit,2025-06-01,interview
190,19,3840.78,Debit,2025-04-05,company
191,19,3152.4,Debit,2025-07-04,manage
192,19,2227.37,Debit,2025-09-04,care
193,19,1210.74,Debit,2025-01-16,none
194,19,1632.56,Credit,2023-10-11,what
195,19,734.95,Credit,2024-07-23,person
196,19,1946.02,Credit,2024-12-02,recognize
197,19,3546.77,Credit,2023-10-12,because
198,19,2103.6,Debit,2025-02-01,later
199,20,2356.33,Credit,2024-01-04,trial
200,20,1073.83,Debit,2024-09-13,court
201,20,1977.91,Credit,2023-10-30,ever
202,20,4290.82,Debit,2024-07-11,generation
203,20,2411.05,Debit,2024-03-03,look
204,20,1528.13,Debit,2024-05-31,green
205,20,4274.57,Debit,2025-05-04,until
206,20,2714.19,Credit,2024-07-11,fall
207,20,2466.74,Debit,2025-04-27,theory
208,20,2207.39,Credit,2024-08-13,entire
209,20,1974.84,Debit,2025-06-30,beat
210,20,3634.7,Debit,2024-09-20,after
211,20,4601.73,Credit,2025-04-24,notice
212,21,2979.87,Credit,2023-10-31,hard
213,21,465.54,Debit,2024-03-13,rate
214,21,721.71,Debit,2023-11-13,statement
215,21,949.56,Debit,2025-02-08,amount
216,21,1926.56,Credit,2025-04-28,allow
217,21,2300.76,Debit,2024-03-31,decision
218,21,3818.09,Debit,2025-07-03,again
219,21,1427.37,Debit,2025-01-15,claim
220,21,1298.74,Credit,2024-03-24,card
221,21,2378.02,Credit,2024-09-22,relationship
222,21,4999.54,Debit,2023-12-18,organization
223,22,3268.21,Credit,2024-03-08,make
224,22,3783.45,Credit,2025-03-17,establish
225,22,1036.84,Credit,2025-05-08,home
226,22,3125.61,Credit,2024-01-29,police
227,22,674.79,Credit,2025-01-04,small
228,22,2841.65,Credit,2025-03-31,building
229,22,2351.92,Debit,2025-05-17,tell
230,22,3846.15,Credit,2024-01-26,foreign
231,23,3055.88,Credit,2023-12-13,particular
232,23,3900.07,Credit,2023-10-10,woman
233,23,4825.37,Credit,2024-05-20,parent
234,23,2914.49,Debit,2025-02-28,whatever
235,23,2900.19,Debit,2024-07-08,industry
236,23,2013.44,Credit,2025-03-29,decide
237,23,426.18,Credit,2023-11-19,person
238,23,554.41,Debit,2025-03-10,then
239,23,4258.95,Credit,2025-01-20,eight
240,23,3991.32,Credit,2023-12-09,same
241,23,1768.66,Debit,2025-05-13,fish
242,23,3324.53,Credit,2025-07-12,return
243,23,2554.51,Debit,2024-12-30,support
244,23,112.63,Debit,2023-12-24,style
245,24,572.42,Debit,2024-12-03,stay
246,24,3196.15,Debit,2023-10-22,hand
247,24,3551.18,Debit,2024-11-07,later
248,24,921.88,Debit,2025-02-15,hospital
249,24,3098.77,Debit,2023-11-13,move
250,24,2351.13,Debit,2025-02-04,growth
251,24,1645.41,Credit,2023-09-30,time
252,24,4162.12,Credit,2024-08-12,test
253,24,1430.69,Debit,2024-10-05,born
254,24,1257.12,Debit,2024-08-22,high
255,24,2870.76,Debit,2025-01-26,vote
256,24,1715.16,Debit,2025-06-25,machine
257,25,950.11,Credit,2025-03-23,claim
258,25,1806.38,Debit,2024-08-24,control
259,25,1734.68,Debit,2025-04-12,nearly
260,25,2801.17,Credit,2025-02-07,expect
261,25,473.78,Debit,2025-01-11,system
262,25,2468.46,Credit,2025-09-04,nothing
263,25,3468.52,Debit,2025-05-14,member
264,25,2268.46,Credit,2024-09-16,least
265,25,510.61,Credit,2025-06-23,side
266,25,2051.79,Credit,2024-12-24,executive
267,26,3336.6,Debit,2024-05-28,together
268,26,2392.64,Debit,2024-03-29,then
269,26,2156.24,Debit,2025-09-15,before
270,26,1791.46,Debit,2024-04-24,upon
271,26,1391.04,Debit,2024-09-05,either
272,26,1191.16,Credit,2025-04-25,majority
273,26,1611.96,Credit,2024-12-06,poor
274,26,998.13,Debit,2025-02-20,hundred
275,26,1418.67,Debit,2024-06-08,air
276,27,4171.51,Debit,2024-10-08,today
277,27,1176.04,Credit,2024-05-30,court
278,27,1546.22,Credit,2024-10-03,difference
279,27,1407.84,Credit,2024-06-22,subject
280,27,2789.13,Credit,2024-04-08,grow
281,27,3207.45,Debit,2024-04-25,up
